timestamp,building_id,building_type,floor,room_id,room_area_m2,capacity_students,occupancy,occupancy_rate,temperature_c,humidity_pct,ac_usage_pct,lighting_usage_pct,plug_load_kw,weekend,holiday,exam_period,hour,day_of_week,peak_period,power_kw,energy_kwh_15min,tariff_inr_per_kwh,energy_cost_inr,injected_anomaly
2025-01-01 00:00:00,B01,Engineering,1,B01-R01,40,20,1.0,0.05,24.99,78.85,25.58,89.73,0.398,0,1,0,0.0,2,0,7.55,1.8875,5.0,9.438,0
2025-01-01 00:00:00,B01,Engineering,2,B01-R06,40,20,4.0,0.2,21.7,71.91,4.03,100.0,0.667,0,1,0,0.0,2,0,6.069,1.5172,5.0,7.586,0
2025-01-01 00:00:00,B01,Engineering,3,B01-R11,40,20,2.0,0.1,25.89,76.17,,87.43,0.629,0,1,0,0.0,2,0,7.412,1.853,5.0,9.265,0
2025-01-01 00:00:00,B01,Engineering,4,B01-R16,40,20,1.0,0.05,22.88,73.16,5.35,89.23,0.687,0,1,0,0.0,2,0,6.127,1.5317,5.0,7.658,0
2025-01-01 00:00:00,B02,Computer_Science,1,B02-R01,40,25,4.0,0.16,23.07,71.88,7.45,80.22,0.436,0,1,0,0.0,2,0,5.983,1.4958,5.0,7.479,0
2025-01-01 00:00:00,B02,Computer_Science,2,B02-R06,40,25,0.0,0.0,26.61,69.47,5.52,25.29,0.319,0,1,0,0.0,2,0,4.354,1.0885,5.0,5.442,0
2025-01-01 00:00:00,B02,Computer_Science,3,B02-R11,40,25,5.0,0.2,24.35,72.44,17.42,87.35,0.651,0,1,0,0.0,2,0,7.563,1.8909,5.0,9.454,0
2025-01-01 00:00:00,B02,Computer_Science,4,B02-R16,40,25,3.0,0.12,25.84,70.75,25.68,93.38,0.524,0,1,0,0.0,2,0,7.619,1.9046,5.0,9.523,0
2025-01-01 00:00:00,B03,Library,1,B03-R01,40,18,3.0,0.167,26.12,83.16,26.7,94.12,0.1,0,1,0,0.0,2,0,7.163,1.7906,5.0,8.953,0
2025-01-01 00:00:00,B03,Library,2,B03-R06,40,18,2.0,0.111,23.48,75.48,5.51,79.09,0.321,0,1,0,0.0,2,0,6.376,1.5941,5.0,7.97,0
2025-01-01 00:00:00,B03,Library,3,B03-R11,40,18,1.0,0.056,24.97,74.97,22.1,93.7,0.182,0,1,0,0.0,2,0,6.79,1.6975,5.0,8.488,0
2025-01-01 00:00:00,B03,Library,4,B03-R16,40,18,1.0,0.056,23.1,70.16,9.43,81.47,0.403,0,1,0,0.0,2,0,5.998,1.4996,5.0,7.498,0
2025-01-01 00:00:00,B04,Administration,1,B04-R01,40,12,0.0,0.0,24.77,78.49,5.14,16.74,0.585,0,1,0,0.0,2,0,3.836,0.9589,5.0,4.794,0
2025-01-01 00:00:00,B04,Administration,2,B04-R06,40,12,1.0,0.083,22.9,74.08,0.0,100.0,0.726,0,1,0,0.0,2,0,6.033,1.5081,5.0,7.541,0
2025-01-01 00:00:00,B04,Administration,3,B04-R11,40,12,1.0,0.083,27.45,67.19,36.43,90.27,0.442,0,1,0,0.0,2,0,6.944,1.736,5.0,8.68,0
